participantNumber,trialNum,TargetPresent,beta,seed,x,y,RT
2,  1,1,1.60,  9,867,538, 0.826
2,  2,1,1.60, 51,453,362, 7.820
2,  3,1,1.70,189,344,448, 1.074
2,  4,0,1.65,155,NaN,NaN,-1.000
2,  5,1,1.65, 89,671,858, 0.996
2,  6,1,1.65,139,376,310, 2.633
2,  7,1,1.70,187,197,733, 0.911
2,  8,1,1.65,122,193,503, 1.497
2,  9,1,1.60, 59,322,374,13.059
2, 10,0,1.60, 75,NaN,NaN,-1.000
2, 11,1,1.60, 66,433,877, 2.227
2, 12,1,1.65,119,859,463, 1.269
2, 13,1,1.70,163,785,683, 0.864
2, 14,1,1.60, 42,763,275, 2.337
2, 15,1,1.60, 56,238,246, 4.563
2, 16,1,1.70,208,154,394, 0.775
2, 17,1,1.65,113,419,486, 0.936
2, 18,1,1.65,104,895,526, 1.702
2, 19,1,1.70,164,637,574, 0.741
2, 20,1,1.60, 34,444,232, 0.877
2, 21,1,1.65,144,461,177, 1.209
2, 22,1,1.65,109,632,117, 0.613
2, 23,1,1.65, 84,583,647, 0.790
2, 24,1,1.65,111,687,206, 0.554
2, 25,1,1.65,116,612,166, 0.910
2, 26,0,1.60, 78,NaN,NaN, 2.264
2, 27,0,1.60, 79,NaN,NaN,-1.000
2, 28,1,1.65,132,742,289, 0.661
2, 29,1,1.60, 31,306,678, 1.270
2, 30,0,1.65,158,NaN,NaN,-1.000
2, 31,1,1.60, 37,215,389, 4.010
2, 32,1,1.70,223,466,927, 1.846
2, 33,0,1.70,236,NaN,NaN,-1.000
2, 34,1,1.70,177,790,322, 0.875
2, 35,1,1.65,131,314,115, 1.234
2, 36,1,1.70,207,418,418, 0.577
2, 37,1,1.70,175,470,721, 0.517
2, 38,1,1.70,165,250,842, 2.449
2, 39,1,1.70,206,526,219, 0.601
2, 40,1,1.70,169,676,188, 0.502
2, 41,1,1.65,114,931,611, 0.781
2, 42,1,1.70,196,698,682, 0.577
2, 43,1,1.70,172,703,694, 0.489
2, 44,1,1.70,166,270,772, 1.844
2, 45,1,1.70,215,198,457, 2.542
2, 46,1,1.65,107,879,344, 1.353
2, 47,1,1.65, 92,734,524, 1.439
2, 48,1,1.60, 12,852,515, 0.829
2, 49,1,1.60, 52,158,692, 1.066
2, 50,0,1.70,237,NaN,NaN,-1.000
2, 51,1,1.60, 32,292,481, 1.025
2, 52,0,1.70,232,NaN,NaN,-1.000
2, 53,1,1.60, 18,388,881, 1.676
2, 54,1,1.65,137,736,583, 0.781
2, 55,1,1.60,  5,421,916, 0.901
2, 56,1,1.60, 22,838,677, 1.028
2, 57,1,1.70,218,632,702, 0.534
2, 58,1,1.70,220,528,621, 0.494
2, 59,1,1.65, 81,430,772, 0.514
2, 60,1,1.70,168,617,620, 0.568
2, 61,1,1.65, 88,407,424, 0.924
2, 62,1,1.70,205,623,181, 0.551
2, 63,1,1.60, 41,745,422, 1.401
2, 64,1,1.60, 40,220,659, 2.494
2, 65,0,1.70,239,NaN,NaN,-1.000
2, 66,1,1.60, 58,451,349, 2.647
2, 67,1,1.65, 94,191,718, 1.931
2, 68,1,1.65, 85,241,562, 1.513
2, 69,1,1.60,  4,181,416, 4.721
2, 70,1,1.65,100,269,612, 0.659
2, 71,0,1.65,151,NaN,NaN,-1.000
2, 72,0,1.60, 80,NaN,NaN,-1.000
2, 73,0,1.60, 71,NaN,NaN,-1.000
2, 74,1,1.65,102,443,650, 0.635
2, 75,1,1.65,142,535,956, 1.357
2, 76,1,1.65, 95,721,497, 0.637
2, 77,1,1.60, 47,380,589, 1.713
